Events,Food,Event,Description,Location,End Hour,End Minute,Tags,Capacity,Attendance,Distance,Attending,Image
Event 1,Burgers and Fries,Redwood Club Meeting,Come meet current members and students interested in the outdoors,"The Treehouse, Stanford",21,0,"burgers, fries, redwood club, outdoors, treehouse",20,0,1,0,drawable/treehouse_burger
Event 2,Domino's Pizza,Twitter Info Session,Join us and find out about interesting job opportunities for students at Twitter this summer in Gates B03,"Gates Building, Stanford",23,0,"domino's, pizza, twitter, jobs, info session",45,3,1.5,0,drawable/pizza_heart
Event 3,Sub Sandwiches,Sterling Quad Social,Meet other members of neighboring dorms and meet your residence staff at our social in Sterling Quad.,"236 Santa Teresa St, Stanford",21,0,"subway, sandwiches, social, sterling quad",150,15,0.7,0,drawable/crothers_barbecue
Event 4,Sushi,Chess Club Meeting,Watch Grand Master Gary Kasparov play a new simulator today in Hewlett 200.,"Hewlett Building, Stanford",15,0,"chess, hewlett, sushi, demonstration",30,20,1.2,0,drawable/darbar_indian
Event 5,Enchiladas,Stern Dining on the Field,Stern Dining has teamed up with students to offer a dinner on Stern Field this Friday.,"Stern Hall, Stanford",12,0,"stern dining, enchiladas, field, outside, mexican food",100,33,2,0,drawable/hamburger
Event 6,Ice Cream!,Google Info Session,"Google has many interesting jobs and internships for students, come find out what they can offer you at Tressider 2nd Floor.","Tresidder Union, Stanford",17,0,"google, ice cream, internship, career, tresidder",65,23,1.1,0,drawable/sprinkles_cupcake
Event 7,Stir Fry,Redwood Club Meeting,Come meet current members and students interested in the outdoors,"The Treehouse, Stanford",20,0,"burgers, fries, redwood club, outdoors, treehouse",50,17,0.2,0,drawable/treehouse_burger
Event 8,Pizza My Heart,Twitter Info Session,Join us and find out about interesting job opportunities for students at Twitter this summer in Gates B03,"Gates Building, Stanford",15,0,"domino's, pizza, twitter, jobs, info session",45,4,0.9,0,drawable/pizza_heart
Event 9,Treehouse Burritos,Sterling Quad Social,Meet other members of neighboring dorms and meet your residence staff at our social in Sterling Quad.,"236 Santa Teresa St, Stanford",14,0,"subway, sandwiches, social, sterling quad",150,100,2,0,drawable/crothers_barbecue
Event 10,Panda Express,Chess Club Meeting,Watch Grand Master Gary Kasparov play a new simulator today in Hewlett 200.,"Hewlett Building, Stanford",23,0,"chess, hewlett, sushi, demonstration",30,23,1.5,0,drawabledarbar_indian
Event 11,Steak and Eggs,Stern Dining on the Field,Stern Dining has teamed up with students to offer a dinner on Stern Field this Friday.,"Stern Hall, Stanford",20,0,"stern dining, enchiladas, field, outside, mexican food",100,47,0.7,0,drawable/hamburger
Event 12,Caviar and Lobster,Google Info Session,"Google has many interesting jobs and internships for students, come find out what they can offer you at Tressider 2nd Floor.","Tresidder Union, Stanford",18,0,"google, ice cream, internship, career, tresidder",70,32,1.2,0,drawable/sprinkles_cupcake
Event 13,Cereal and Juice,Redwood Club Meeting,Come meet current members and students interested in the outdoors,"The Treehouse, Stanford",10,0,"burgers, fries, redwood club, outdoors, treehouse",50,29,3,0,drawable/treehouse_burger
Event 14,Burgers,Twitter Info Session,Join us and find out about interesting job opportunities for students at Twitter this summer in Gates B03,"Gates Building, Stanford",20,0,"domino's, pizza, twitter, jobs, info session",45,40,1.1,0,drawable/pizza_heart
Event 15,BBQ Chicken,Sterling Quad Social,Meet other members of neighboring dorms and meet your residence staff at our social in Sterling Quad.,"236 Santa Teresa St, Stanford",22,0,"subway, sandwiches, social, sterling quad",150,70,0.2,0,drawable/crothers_barbecue
